Date,Open_USD,High_USD,Low_USD,Close_USD,Volume_USD,Dividends_USD,Stock Splits_USD
2015-04-22,102.14129588343043,103.14164744195966,101.20929188015764,102.74398803710938,4209941,0.0,0.0
2015-04-23,102.66318999929206,106.81370636091307,102.60726838409981,105.77607727050781,8614438,0.0,0.0
2015-04-24,105.76986303512703,106.15508648150968,104.84406731271612,105.49026489257812,4067266,0.0,0.0
2015-04-27,106.17994327717868,106.5527507348938,105.81335373971432,106.08053588867188,3314356,0.0,0.0
2015-04-28,106.14266245565322,108.5410143885177,105.6393778565196,108.06259155273438,6084268,0.0,0.0
2015-04-29,107.73949639391562,108.81440319816268,107.36668895148902,108.36083221435547,4726246,0.0,0.0
2015-04-30,107.96942671317854,108.28630273172242,105.81338455151527,106.42851257324219,5295793,0.0,0.0
2015-05-01,107.61522538855476,108.11229205293766,107.13058464701113,107.9072494506836,3464457,0.0,0.0
2015-05-04,108.40431873022219,109.54136507447599,107.92589589702547,108.0936508178711,4213288,0.0,0.0
2015-05-05,107.80786211471077,108.2552152539838,106.84478845549194,107.54067993164062,3758906,0.0,0.0
2015-05-06,108.24183566431311,108.96177837412908,105.71264371136196,106.45762634277344,3778780,1.24283,0.0
2015-05-07,106.19467957656076,107.66586978881682,105.82532577149786,107.04609680175781,2585712,0.0,0.0
2015-05-08,108.26690312972526,108.51105741537764,107.82867441435216,108.10413360595703,3234860,0.0,0.0
2015-05-11,108.08531142384739,108.29817072219831,106.96471008553564,107.12747955322266,2783406,0.0,0.0
2015-05-12,106.77062225341797,107.35910025158252,105.70010088883093,106.77062225341797,3098670,0.0,0.0
2015-05-13,107.20268139634615,108.14173904249708,106.8959271615877,107.853759765625,2570545,0.0,0.0
2015-05-14,108.61744523139014,109.18088338730476,108.44215580314686,108.9617691040039,2551299,0.0,0.0
2015-05-15,108.8741402408929,109.18715927811795,108.05403775743507,108.46721649169922,3050764,0.0,0.0
2015-05-18,108.57990212429337,108.61120702445395,107.86621434935886,108.34200286865234,2061248,0.0,0.0
2015-05-19,108.28567591745811,108.77398443395397,107.63458790347435,108.60494995117188,2639058,0.0,0.0
2015-05-20,108.51103350682695,109.20593631872538,107.96638022160894,108.78022766113281,2406114,0.0,0.0
2015-05-21,108.50479876087338,109.01815728205206,108.32950926290664,108.51731872558594,2401198,0.0,0.0
2015-05-22,108.3294953136714,108.54860965591294,107.79736190994049,107.81614685058594,2980786,0.0,0.0
2015-05-26,107.7472694557536,107.75353443256591,105.88167526811179,106.5077133178711,4031493,0.0,0.0
2015-05-27,107.1525525759787,107.97892012937874,106.73310881751013,107.67842102050781,2891562,0.0,0.0
2015-05-28,107.33411005508462,107.57826433891276,106.83953650948852,107.49687957763672,1811044,0.0,0.0
2015-05-29,107.27147865319922,107.27147865319922,106.20722198486328,106.20722198486328,4280232,0.0,0.0
2015-06-01,106.55778640033826,107.07738970650098,105.8190588200294,106.53900146484375,3122833,0.0,0.0
2015-06-02,106.21347696955387,106.70805041560754,105.44345438138325,106.20722198486328,2689684,0.0,0.0
2015-06-03,106.73932713433805,107.40292494179488,106.19467393561698,106.37622833251953,2229026,0.0,0.0
2015-06-04,106.13207488827562,106.80193767607015,105.13041819040497,105.4121322631836,3220948,0.0,0.0
2015-06-05,105.33077841881385,105.74396717364212,104.67343539758423,104.79864501953125,3243123,0.0,0.0
2015-06-08,104.65466959852694,104.72353439701882,103.30868852690067,103.50901794433594,3931600,0.0,0.0
2015-06-09,103.50902103448333,103.93472980223402,102.27572959484169,103.72187042236328,3552111,0.0,0.0
2015-06-10,104.22894331795922,106.04444771768078,103.9597491472956,105.75021362304688,4895803,0.0,0.0
2015-06-11,105.96306385019798,106.70179157340986,105.51232523100619,105.6625747680664,3623344,0.0,0.0
2015-06-12,105.31826463997757,105.36208950903081,104.3541674807573,104.54197692871094,3206095,0.0,0.0
2015-06-15,104.54197986527947,104.54197986527947,102.82663487407059,104.08497619628906,4441002,0.0,0.0
2015-06-16,104.12880549132214,104.79866862644062,103.86587621719464,104.44808959960938,3399291,0.0,0.0
2015-06-17,104.54822315852525,105.08034650164117,103.9847849237123,104.65464782714844,2994698,0.0,0.0
2015-06-18,104.57952470313839,105.62500650147325,104.57952470313839,105.33077239990234,3484121,0.0,0.0
2015-06-19,104.93638076620971,105.43720929141618,104.40424733568088,104.54197692871094,7399404,0.0,0.0
2015-06-22,104.95515391535169,105.38711759550897,104.67342978308469,105.00523376464844,2443247,0.0,0.0
2015-06-23,105.4121360498055,106.4075377997642,104.90504270699878,105.56238555908203,3871874,0.0,0.0
2015-06-24,105.61872533762705,105.70011006827156,104.44176923908616,104.5294189453125,3711313,0.0,0.0
2015-06-25,105.04903068001549,105.25562499138293,103.97224426269531,103.97224426269531,2519709,0.0,0.0
2015-06-26,104.06618051027955,104.4292794151687,103.44014240282135,103.58413696289062,9357516,0.0,0.0
2015-06-29,102.62004228269102,103.51527459911289,101.97521921993116,102.02529907226562,3467176,0.0,0.0
2015-06-30,102.66387571124625,102.67014068991513,101.49318401143414,101.83125305175781,3762776,0.0,0.0
2015-07-01,102.65133628390983,103.67804319158753,102.41970198093294,102.97687530517578,3362367,0.0,0.0
2015-07-02,103.32747388101758,103.49650840124234,102.93307998447618,103.35252380371094,2983924,0.0,0.0
2015-07-06,102.56369268314981,103.4401400181927,102.36961827639455,103.12712097167969,3221471,0.0,0.0
2015-07-07,103.25859558317343,103.51527981930619,101.5620355838955,103.2961654663086,3713195,0.0,0.0
2015-07-08,102.6701327007894,103.2586010022476,101.84376509228092,102.1442642211914,2904010,0.0,0.0
2015-07-09,103.50900985918112,103.615434541631,102.48231293202966,102.57621765136719,4392886,0.0,0.0
2015-07-10,103.7093067850885,104.79861317868242,103.6216670707458,104.51689910888672,4747062,0.0,0.0
2015-07-13,105.13046324126944,106.35748972477522,104.87378897714865,106.03821563720703,4423534,0.0,0.0
2015-07-14,106.06952614989872,106.13839095532533,105.32453325555711,105.55616760253906,3164464,0.0,0.0
2015-07-15,105.47476809304791,105.96934162727509,105.17427897462026,105.50607299804688,2089908,0.0,0.0
2015-07-16,106.09452856802551,107.10870535482128,105.90045418571698,107.05236053466797,3692275,0.0,0.0
2015-07-17,106.63293761797823,108.0039585379317,106.48895304333075,107.9977035522461,4556794,0.0,0.0
2015-07-20,108.17299025490311,108.79276339733448,107.76606647613713,108.44218444824219,7717179,0.0,0.0
2015-07-21,102.8829531025955,104.1412940994032,101.4305477166982,102.087890625,14384906,0.0,0.0
2015-07-22,101.87499742673229,102.08785667428181,99.97810908170823,100.3850326538086,7512163,0.0,0.0
2015-07-23,100.33498582170523,101.88755088858761,100.05952670016647,101.24899291992188,5265773,0.0,0.0
2015-07-24,100.97357291953126,101.37423176463648,99.79661632905434,100.00947570800781,3951997,0.0,0.0
